стимул,лемма,частота,часть речи стимула,часть речи ассоциации,st_arousal,st_dominance,st_valence,st_abstract,ass_arousal,ass_dominance,ass_valence,ass_abstract,RuWordNet,общая ЛСГ,FB_точные примеры,Dice Score,Delta P,PMI,Wu Palmer,косинусное сходство_Sentence‑BERT,тип связи;;
автор,текст,11,S,S,2.142857142857143,4.5,3.8,1.735849056603774,2.40625,2.9375,3.87,1.653846153846154,, , ,0.0267314702308627,0.02188543960620128,5.056970520553759,0.2222222222222222,0.6998524069786072,тематический / парадигматический;;
автор,песня,7,S,S,2.142857142857143,4.5,3.8,1.735849056603774,3.833333333333333,3.333333333333333,4.109999999999999,2.348837209302326,, , ,0.01422764227642276,0.01335487644269267,3.838714798932326,0.1538461538461539,0.7273222208023071,синтаксический / тематический;;
автор,роман,7,S,S,2.142857142857143,4.5,3.8,1.735849056603774,3.7,3.466666666666667,4.35,1.90875,,предметные имена: лица, ,0.03401360544217687,0.02030970772303405,6.663628092374235,0.1666666666666667,0.8792124390602112,тематический;;
автор,умный,6,S,A,2.142857142857143,4.5,3.8,1.735849056603774,4.066666666666666,4.166666666666667,4.641304347826085,2.935483870967742,, , ,0.01214574898785425,0.01129557969506524,3.604734403320666,0.0,0.5829662084579468,синтагматический;;
автор,писать,5,S,V,2.142857142857143,4.5,3.8,1.735849056603774,2.8,3.033333333333333,3.60869565217391,2.466666666666667,, , ,0.02160493827160494,0.01403469985046937,5.470983014431838,0.0,0.8671945333480835,синтагматический / тематический;;
автор,статья,5,S,S,2.142857142857143,4.5,3.8,1.735849056603774,2.939393939393939,2.96969696969697,2.84259259259259,1.909090909090909,, , ,0.03025210084033613,0.01824434112355147,6.414014202302762,0.2,0.7705848217010498,синтаксический;;
автор,письмо,4,S,S,2.142857142857143,4.5,3.8,1.735849056603774,3.12121212121212,3.181818181818182,3.897959183673465,2.159090909090909,, , ,0.007104795737122558,0.006913959286087243,2.668143573496727,0.3636363636363636,0.7821864485740662,тематический;;
автор,человек,4,S,S,2.142857142857143,4.5,3.8,1.735849056603774,3.233333333333333,3.766666666666667,4.443181818181815,2.25,,предметные имена: лица,субъект перемещения + адресат (id:143212); субъект поведения + адресат (id:36587),0.0007738440704198104,-0.01172453247712379,-1.280351821969504,0.8,0.783798098564148,тематический / парадигматический;
"автор,автор,3,S,S,2.142857142857143,4.5,3.8,1.735849056603774,2.142857142857143,4.5,3.8,1.735849056603774,,""предметные имена: лица, предметные имена: nomina agentis"", ,0.01025641025641026,0.00595735229214522,4.970605845795625,1.0,1.0,идентичные";;
автор,идея,3,S,S,2.142857142857143,4.5,3.8,1.735849056603774,3.733333333333333,4.0,4.51063829787234,3.264150943396226,, , ,0.007407407407407408,0.005502113403009041,3.239601809868136,0.1818181818181818,0.6820714473724365,тематический / парадигматический;;
автор,неизвестный,3,S,A,2.142857142857143,4.5,3.8,1.735849056603774,3.586206896551724,2.620689655172414,2.95,2.666666666666667,,предметные имена: лица, ,0.02290076335877863,0.01223438344866162,7.40059368654044,0.0,0.5655293464660645,синтагматический / тематический;;
автор,главный,2,S,A,2.142857142857143,4.5,3.8,1.735849056603774,3.84375,4.03125,4.227272727272725,2.9,,предметные имена: лица, ,0.003518029903254178,0.002789295938977226,1.643481519262458,0.0,0.6643649339675903,синтагматический / тематический;;
автор,знаменитый,2,S,A,2.142857142857143,4.5,3.8,1.735849056603774,3.866666666666667,3.9,4.144230769230765,3.0,, , ,0.01526717557251908,0.008131976225020487,6.815631185819284,0.0,0.6748169660568237,синтагматический;;
автор,интересный,2,S,A,2.142857142857143,4.5,3.8,1.735849056603774,4.233333333333333,3.6,4.61627906976744,3.2,, , ,0.004561003420752566,0.003315349766423477,2.381929842275404,0.0,0.6396054029464722,синтагматический;;
автор,литература,2,S,S,2.142857142857143,4.5,3.8,1.735849056603774,2.709677419354839,3.483870967741935,4.140000000000001,2.86046511627907,, , ,0.006655574043261231,0.00387377613709719,4.165377224846408,0.0,0.8380666971206665,тематический;;
автор,написать,2,S,V,2.142857142857143,4.5,3.8,1.735849056603774,3.21875,3.09375,3.62037037037037,2.064516129032258,, , ,0.01063829787234043,0.005999841255131264,5.322591174539167,0.0,0.8817065954208374,синтагматический / тематический;;
автор,работа,2,S,S,2.142857142857143,4.5,3.8,1.735849056603774,4.212121212121212,2.757575757575758,3.5,2.425,, , ,0.001807501129688206,0.000612242406930431,0.2331755407087027,0.25,0.5422405004501343,тематический / парадигматический;;
автор,хороший,2,S,A,2.142857142857143,4.5,3.8,1.735849056603774,3.766666666666667,3.3,4.77272727272727,3.419354838709677,, , ,0.002049180327868853,0.001140319518328399,0.4698563489775541,0.0,0.5815926194190979,синтагматический;;
автор,художник,2,S,S,2.142857142857143,4.5,3.8,1.735849056603774,2.5,2.59375,3.99,2.057692307692307,гипоним,предметные имена: лица, ,0.01423487544483986,0.008055091434855265,5.776102821632647,0.9230769230769231,0.6886628866195679,тематический / парадигматический;;
автор,бог,1,S,S,2.142857142857143,4.5,3.8,1.735849056603774,3.633333333333333,3.8,4.069767441860465,3.475,, , ,0.002688172043010753,0.001533242920181183,1.985556187261597,0.4,0.7072150707244873,тематический;;
