стимул,количество связей,взвешенная степень,центральность по степени,степень посредничества,степень близости
звать,2,0.06416384389486395,0.004273504273504274,0.0,0.008653846153846154
бежать,2,0.03520855797302334,0.004273504273504274,0.0006588700378850271,0.01309098777453208
сухой,2,0.0494806508548299,0.004273504273504274,9.150972748403155e-06,0.004273504273504274
ехать,2,0.06887311397794138,0.004273504273504274,0.0,0.012290813761402
оказываться,2,0.08195925639648383,0.004273504273504274,0.0,0.007525083612040135
находиться,2,0.03418906204273529,0.004273504273504274,9.150972748403155e-06,0.004884004884004884
остановиться,2,0.03446688712247024,0.004273504273504274,0.0,0.004273504273504274
дверь,2,0.03809534492212172,0.004273504273504274,0.0,0.005698005698005698
пора,2,0.03813449285409824,0.004273504273504274,0.0003294350189425136,0.01099704389178073
собираться,2,0.09225374986537317,0.004273504273504274,0.0,0.01515654753996723
помогать,2,0.05229367161780543,0.004273504273504274,0.0,0.004273504273504274
лежать,2,0.03603610836126455,0.004273504273504274,0.0001281136184776442,0.009615384615384616
спина,2,0.0405594672929782,0.004273504273504274,0.0,0.00641025641025641
помочь,2,0.06234392794984699,0.004273504273504274,0.0,0.004273504273504274
смеяться,2,0.04585240957909689,0.004273504273504274,0.0003202840461941104,0.01015699192782526
отказаться,2,0.03616891758066747,0.004273504273504274,4.575486374201577e-05,0.004807692307692308
зависеть,2,0.04032282650147978,0.004273504273504274,7.320778198722524e-05,0.005917159763313609
спать,2,0.06269346335662325,0.004273504273504274,0.0,0.004273504273504274
регион,2,0.04414876647802635,0.004273504273504274,1.830194549680631e-05,0.004807692307692308
промышленный,2,0.0392772229669027,0.004273504273504274,9.150972748403155e-06,0.00698005698005698
вызвать,2,0.09377306241150976,0.004273504273504274,9.150972748403155e-06,0.004273504273504274
уйти,2,0.08129536419647994,0.004273504273504274,0.0,0.01250091314193878
книга,2,0.05418663976809721,0.004273504273504274,9.150972748403155e-06,0.004273504273504274
верхний,2,0.0625071593722471,0.004273504273504274,0.0,0.004273504273504274
география,2,0.0572706040254881,0.004273504273504274,1.830194549680631e-05,0.004807692307692308
картина,2,0.05241865250444008,0.004273504273504274,9.150972748403155e-06,0.004273504273504274
привезти,2,0.04317384885547369,0.004273504273504274,3.660389099361262e-05,0.005698005698005698
привести,2,0.07216559194856519,0.004273504273504274,2.745291824520946e-05,0.004884004884004884
случиться,2,0.03565993249536405,0.004273504273504274,4.575486374201577e-05,0.004807692307692308
сторона,2,0.03313474663481226,0.004273504273504274,0.0,0.008547008547008548
отвечать,2,0.06120371208109972,0.004273504273504274,9.150972748403155e-06,0.004273504273504274
юридический,2,0.04232981040771111,0.004273504273504274,9.150972748403155e-06,0.004273504273504274
литература,2,0.03714859437751004,0.004273504273504274,0.0001464155639744505,0.008044243338360986
правительство,2,0.03815476544575677,0.004273504273504274,9.150972748403155e-06,0.004273504273504274
направление,2,0.03517508521399444,0.004273504273504274,0.0,0.008547008547008548
долгий,2,0.03413298109297523,0.004273504273504274,0.0,0.009071824861298546
обязательный,2,0.04144895144465649,0.004273504273504274,0.0,0.004273504273504274
звонить,2,0.05454326312303442,0.004273504273504274,0.0003294350189425136,0.012290813761402
телефонный,2,0.04039017523823028,0.004273504273504274,9.150972748403155e-06,0.004273504273504274
носить,2,0.046168634433451,0.004273504273504274,0.0,0.004807692307692308
театральный,2,0.04631646958271998,0.004273504273504274,0.0,0.01175213675213675
ставить,2,0.09127423467492324,0.004273504273504274,0.0,0.004273504273504274
создание,2,0.04133991929479958,0.004273504273504274,0.0,0.004273504273504274
создавать,2,0.05233024019547693,0.004273504273504274,0.0,0.004273504273504274
передавать,2,0.05639547826522476,0.004273504273504274,0.000118962645729241,0.01196581196581197
сон,2,0.04427962232121905,0.004273504273504274,0.0,0.004273504273504274
смочь,2,0.03567634675133179,0.004273504273504274,4.575486374201577e-05,0.005494505494505494
пытаться,2,0.0596462133547236,0.004273504273504274,0.0,0.005917159763313609
расти,2,0.0623530918316388,0.004273504273504274,1.830194549680631e-05,0.004807692307692308
состояться,2,0.05165532022678677,0.004273504273504274,1.830194549680631e-05,0.004807692307692308
положить,2,0.06209040703568898,0.004273504273504274,0.0,0.004273504273504274
ветер,2,0.04407835276426378,0.004273504273504274,0.0,0.008903133903133903
смерть,2,0.08426921430228176,0.004273504273504274,0.0,0.004807692307692308
скорый,2,0.03920563529945546,0.004273504273504274,0.0,0.009071824861298546
напоминать,2,0.04232032097435613,0.004273504273504274,0.0001372645912260473,0.008044243338360986
губа,2,0.03753769536957235,0.004273504273504274,9.150972748403155e-06,0.004273504273504274
выходить,2,0.06766070585035755,0.004273504273504274,0.0,0.004273504273504274
выйти,2,0.08224845928441821,0.004273504273504274,0.0,0.004273504273504274
верить,2,0.04757124007470219,0.004273504273504274,9.150972748403155e-05,0.007387057387057387
встать,2,0.03915575481513434,0.004273504273504274,9.150972748403155e-06,0.004273504273504274
суметь,2,0.03963002478744188,0.004273504273504274,7.320778198722524e-05,0.006993006993006992
петь,2,0.03512147051586943,0.004273504273504274,6.405680923882208e-05,0.005259697567389876
выступать,2,0.03817907275600049,0.004273504273504274,0.001024908947821153,0.01723646723646724
песня,2,0.03917987897899856,0.004273504273504274,0.0001098116729808379,0.006512006512006513
вещь,2,0.03209630501148032,0.004273504273504274,0.0,0.004807692307692308
